date,time,day,hour,is_holiday,is_weekend,segment_1,segment_2,segment_3,segment_4,segment_5,segment_6,segment_7,segment_8,segment_9,segment_10
08/01/26,15:31:23,Thursday,15,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,15:46:34,Thursday,15,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,16:01:46,Thursday,16,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,16:16:57,Thursday,16,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,16:32:10,Thursday,16,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,16:47:21,Thursday,16,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,17:02:33,Thursday,17,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,17:17:44,Thursday,17,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,17:32:57,Thursday,17,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,17:48:08,Thursday,17,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,18:03:19,Thursday,18,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,18:18:30,Thursday,18,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,18:33:43,Thursday,18,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,18:48:55,Thursday,18,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,19:04:07,Thursday,19,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,19:19:18,Thursday,19,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,19:34:31,Thursday,19,0,0,1,3,1,1,1,1,1,4,1,1
08/01/26,19:49:44,Thursday,19,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,20:04:56,Thursday,20,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,20:20:09,Thursday,20,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,20:35:22,Thursday,20,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,20:50:33,Thursday,20,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,21:05:45,Thursday,21,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,21:20:56,Thursday,21,0,0,1,3,1,1,1,1,1,1,1,1
08/01/26,21:36:10,Thursday,21,0,0,1,3,1,1,1,1,1,1,1,1
